Database,GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
July 2025,G100000107710,L100000103916,United States,https://www.gem.wiki/Ottumwa_Generating_Station,Ottumwa Generating Station,Unit 1,,,MidAmerican Energy Co [52%]; Interstate Power and Light Co [48%],E100000003563 [52%]; E100000003319 [48%],Berkshire Hathaway Inc [52.0%]; Alliant Energy Corp [48.0%],E100000001155 [52.0%]; E100000001135 [48.0%],725.9,operating,1981.0,,,subcritical,subbituminous,,,,,Ottumwa,Wapello,,Iowa,Northern America,Americas,41.097728,-92.554939,exact,,,,,,,,,44,0.55,10877.5,96100,3.857365771619832,5,19.28682885809916
July 2025,G100000107830,L100000104208,United States,https://www.gem.wiki/Parish_Generating_Station,Parish Generating Station,Unit 5,"Washington A. Parish Generating Station, Site of the Petra Nova Carbon Capture and Storage (CCS) project (Unit 8)",,NRG Texas Power LLC [100%],E100000003614 [100%],NRG Energy Inc [100.0%],E100000001262 [100.0%],734.1,operating,1977.0,,,subcritical,subbituminous,,,,,Thompsons,Fort Bend,,Texas,Northern America,Americas,29.477075,-95.634892,exact,,,,,,,,,48,0.55,10877.5,96100,3.900939816704944,5,19.50469908352472
July 2025,G100000107900,L100000103812,United States,https://www.gem.wiki/Pawnee_Station,Pawnee Station,"Unit 1, timepoint 1",,,Public Service Company of Colorado [100%],E100000003845 [100%],Xcel Energy Inc [100.0%],E100000001329 [100.0%],552.3,operating,1981.0,,2025.0,subcritical,subbituminous,,fossil gas: natural gas,G100001017865,,Brush,Morgan,,Colorado,Northern America,Americas,40.220197,-103.679472,exact,,,,,,,,no,44,0.55,10877.5,96100,2.934871353720392,1,2.934871353720392
July 2025,G100000107942,L100000103893,United States,https://www.gem.wiki/Petersburg_Generating_Station,Petersburg Generating Station,"Unit 3, timepoint 1",Petersburg IPL power station,,Indianapolis Power & Light Co [100%],E100000003304 [100%],AES Corp [100.0%],E100000001305 [100.0%],670.9,operating,1977.0,,2026.0,subcritical,bituminous,,fossil gas: natural gas,G100001027801,,Petersburg,Pike,,Indiana,Northern America,Americas,38.528267,-87.252886,exact,,,,,,,,,48,0.55,10877.5,94600,3.509454099874495,1,3.509454099874495
July 2025,G100000108026,L100000103845,United States,https://www.gem.wiki/Plant_Bowen,Plant Bowen,Unit 4,,,Georgia Power Co [100%],E100000003093 [100%],Southern Co [100.0%],E100000001309 [100.0%],952.0,operating,1975.0,,2038.0,supercritical,bituminous,,,,,Taylorsville,Bartow,,Georgia,Northern America,Americas,34.126022,-84.92075,exact,,,,,,,,,50,0.55,10511.25,94600,4.812203633439511,13,62.55864723471364
July 2025,G100000108027,L100000104042,United States,https://www.gem.wiki/Platte_Generating_Station,Platte Generating Station,Unit 1,,,City of Grand Island (Nebraska) [100%],E100000002212 [100%],City of Grand Island (Nebraska) [100.0%],E100000002212 [100.0%],109.8,operating,1982.0,,,subcritical,subbituminous,,,,,Grand Island,Hall,,Nebraska,Northern America,Americas,40.853758,-98.348208,exact,,,,,,,,,43,0.55,12617.9,96100,0.6768218261464043,5,3.384109130732021
July 2025,G100000108034,L100000104262,United States,https://www.gem.wiki/Pleasants_power_station,Pleasants power station,Unit 1,Quantum Pleasants,,Omnis Fuel Technologies LLC [100%],E100001011307 [100%],Hodson Investments LLC,E100001011858,684.0,operating,1979.0,,,supercritical,bituminous,,,,,Willow Island,Pleasants,,West Virginia,Northern America,Americas,39.367358,-81.295733,exact,,,,,,,,,46,0.55,10511.25,94600,3.457507652597295,5,17.28753826298647
July 2025,G100000108046,L100000103796,United States,https://www.gem.wiki/Plum_Point_Energy_Station,Plum Point Energy Station,Unit 1,,,Plum Point Energy Associates LLC [56%]; Empire District Electric Co [7%]; East Texas Electric Cooperative Inc [7%]; Municipal Energy Agency of MS [6%]; Missouri Joint Municipal Power Electric [22%],E100000150460 [7%]; E100001001382 [56%]; E100000002244 [7%]; E100001001360 [6%]; E100001001355 [22%],unknown [23.0%]; Missouri Joint Municipal Power Electric [22.1%]; East Texas Electric Cooperative Inc [7.5%]; Municipal Energy Agency of MS [6.0%]; Algonquin Power & Utilities Corp; Lotus HS Holdings LLC; Starwood Capital Group Management LLC,E100000132388 [23.0%]; E100001001355 [22.1%]; E100000002244 [7.5%]; E100001001360 [6.0%]; E100000001133; E100002001077; E100002001076,720.0,operating,2010.0,,,subcritical,subbituminous,,,,,Osceola,,,Arkansas,Northern America,Americas,35.663015,-89.946806,exact,,,,,,,,,15,0.55,9572.2,96100,3.366892069015465,20,67.3378413803093
July 2025,G100000108122,L100000103871,United States,https://www.gem.wiki/Powerton_Generating_Station,Powerton Generating Station,Unit 6,,,Midwest Generation EME LLC [100%],E100001001353 [100%],NRG Energy Inc [100.0%],E100000001262 [100.0%],892.8,operating,1975.0,,2028.0,subcritical,subbituminous,,,,,Pekin,Tazewell,,Illinois,Northern America,Americas,40.540667,-89.678656,exact,,,,,,,,,50,0.55,10877.5,96100,4.744257006339972,3,14.23277101901992
July 2025,G100000108128,L100000103917,United States,https://www.gem.wiki/Prairie_Creek_Generating_Station,Prairie Creek Generating Station,Unit 3,,,Interstate Power and Light Co [100%],E100000003319 [100%],Alliant Energy Corp [100.0%],E100000001135 [100.0%],50.0,operating,1958.0,,2025.0,subcritical,bituminous,,,,,Cedar Rapids,Linn,,Iowa,Northern America,Americas,41.943667,-91.638692,exact,,,,,,,,yes,67,0.55,12617.9,94600,0.3033959424544951,1,0.3033959424544951
